yh,xh,geolon,geolat,mask
35.09432601928711,-76.8800048828125,-76.880005,35.094326,0.0
35.09432601928711,-76.79998779296875,-76.79999,35.094326,0.0
35.09432601928711,-76.72000122070312,-76.72,35.094326,0.0
35.09432601928711,-76.6400146484375,-76.640015,35.094326,0.0
35.09432601928711,-76.55999755859375,-76.56,35.094326,1.0
35.09432601928711,-76.48001098632812,-76.48001,35.094326,1.0
35.09432601928711,-76.39999389648438,-76.399994,35.094326,1.0
35.09432601928711,-76.32000732421875,-76.32001,35.094326,1.0
35.09432601928711,-76.239990234375,-76.23999,35.094326,1.0
35.09432601928711,-76.16000366210938,-76.16,35.094326,1.0
35.09432601928711,-76.07998657226562,-76.07999,35.094326,1.0
35.09432601928711,-76.0,-76.0,35.094326,1.0
35.09432601928711,-75.92001342773438,-75.92001,35.094326,1.0
35.09432601928711,-75.83999633789062,-75.84,35.094326,1.0
35.09432601928711,-75.760009765625,-75.76001,35.094326,1.0
35.09432601928711,-75.67999267578125,-75.67999,35.094326,1.0
35.09432601928711,-75.60000610351562,-75.600006,35.094326,1.0
35.09432601928711,-75.51998901367188,-75.51999,35.094326,1.0
35.09432601928711,-75.44000244140625,-75.44,35.094326,1.0
35.09432601928711,-75.3599853515625,-75.359985,35.094326,1.0
35.09432601928711,-75.27999877929688,-75.28,35.094326,1.0
35.09432601928711,-75.20001220703125,-75.20001,35.094326,1.0
35.09432601928711,-75.1199951171875,-75.119995,35.094326,1.0
35.09432601928711,-75.04000854492188,-75.04001,35.094326,1.0
35.09432601928711,-74.95999145507812,-74.95999,35.094326,1.0
35.09432601928711,-74.8800048828125,-74.880005,35.094326,1.0
35.09432601928711,-74.79998779296875,-74.79999,35.094326,1.0
35.09432601928711,-74.72000122070312,-74.72,35.094326,1.0
35.09432601928711,-74.6400146484375,-74.640015,35.094326,1.0
35.09432601928711,-74.55999755859375,-74.56,35.094326,1.0
35.09432601928711,-74.48001098632812,-74.48001,35.094326,1.0
35.09432601928711,-74.39999389648438,-74.399994,35.094326,1.0
35.09432601928711,-74.32000732421875,-74.32001,35.094326,1.0
35.09432601928711,-74.239990234375,-74.23999,35.094326,1.0
35.09432601928711,-74.16000366210938,-74.16,35.094326,1.0
35.09432601928711,-74.07998657226562,-74.07999,35.094326,1.0
35.09432601928711,-74.0,-74.0,35.094326,1.0
35.09432601928711,-73.92001342773438,-73.92001,35.094326,1.0
35.09432601928711,-73.83999633789062,-73.84,35.094326,1.0
35.09432601928711,-73.760009765625,-73.76001,35.094326,1.0
35.09432601928711,-73.67999267578125,-73.67999,35.094326,1.0
35.09432601928711,-73.60000610351562,-73.600006,35.094326,1.0
35.09432601928711,-73.51998901367188,-73.51999,35.094326,1.0
35.09432601928711,-73.44000244140625,-73.44,35.094326,1.0
35.09432601928711,-73.3599853515625,-73.359985,35.094326,1.0
35.09432601928711,-73.27999877929688,-73.28,35.094326,1.0
35.09432601928711,-73.20001220703125,-73.20001,35.094326,1.0
35.09432601928711,-73.1199951171875,-73.119995,35.094326,1.0
35.09432601928711,-73.04000854492188,-73.04001,35.094326,1.0
35.09432601928711,-72.95999145507812,-72.95999,35.094326,1.0
35.09432601928711,-72.8800048828125,-72.880005,35.094326,1.0
35.09432601928711,-72.79998779296875,-72.79999,35.094326,1.0
35.09432601928711,-72.72000122070312,-72.72,35.094326,1.0
35.09432601928711,-72.6400146484375,-72.640015,35.094326,1.0
35.09432601928711,-72.55999755859375,-72.56,35.094326,1.0
35.09432601928711,-72.48001098632812,-72.48001,35.094326,1.0
35.09432601928711,-72.39999389648438,-72.399994,35.094326,1.0
35.09432601928711,-72.32000732421875,-72.32001,35.094326,1.0
35.09432601928711,-72.239990234375,-72.23999,35.094326,1.0
35.09432601928711,-72.16000366210938,-72.16,35.094326,1.0
35.09432601928711,-72.07998657226562,-72.07999,35.094326,1.0
35.09432601928711,-72.0,-72.0,35.094326,1.0
35.09432601928711,-71.92001342773438,-71.92001,35.094326,1.0
35.09432601928711,-71.83999633789062,-71.84,35.094326,1.0
35.09432601928711,-71.760009765625,-71.76001,35.094326,1.0
35.09432601928711,-71.67999267578125,-71.67999,35.094326,1.0
35.09432601928711,-71.60000610351562,-71.600006,35.094326,1.0
35.09432601928711,-71.51998901367188,-71.51999,35.094326,1.0
35.09432601928711,-71.44000244140625,-71.44,35.094326,1.0
35.09432601928711,-71.3599853515625,-71.359985,35.094326,1.0
35.09432601928711,-71.27999877929688,-71.28,35.094326,1.0
35.09432601928711,-71.20001220703125,-71.20001,35.094326,1.0
35.09432601928711,-71.1199951171875,-71.119995,35.094326,1.0
35.09432601928711,-71.04000854492188,-71.04001,35.094326,1.0
35.09432601928711,-70.95999145507812,-70.95999,35.094326,1.0
35.09432601928711,-70.8800048828125,-70.880005,35.094326,1.0
35.09432601928711,-70.79998779296875,-70.79999,35.094326,1.0
35.09432601928711,-70.72000122070312,-70.72,35.094326,1.0
35.09432601928711,-70.6400146484375,-70.640015,35.094326,1.0
35.09432601928711,-70.55999755859375,-70.56,35.094326,1.0
35.09432601928711,-70.48001098632812,-70.48001,35.094326,1.0
35.09432601928711,-70.39999389648438,-70.399994,35.094326,1.0
35.09432601928711,-70.32000732421875,-70.32001,35.094326,1.0
35.09432601928711,-70.239990234375,-70.23999,35.094326,1.0
35.09432601928711,-70.16000366210938,-70.16,35.094326,1.0
35.09432601928711,-70.07998657226562,-70.07999,35.094326,1.0
35.09432601928711,-70.0,-70.0,35.094326,1.0
35.09432601928711,-69.92001342773438,-69.92001,35.094326,1.0
35.09432601928711,-69.83999633789062,-69.84,35.094326,1.0
35.09432601928711,-69.760009765625,-69.76001,35.094326,1.0
35.09432601928711,-69.67999267578125,-69.67999,35.094326,1.0
35.09432601928711,-69.60000610351562,-69.600006,35.094326,1.0
35.09432601928711,-69.51998901367188,-69.51999,35.094326,1.0
35.09432601928711,-69.44000244140625,-69.44,35.094326,1.0
35.09432601928711,-69.3599853515625,-69.359985,35.094326,1.0
35.09432601928711,-69.27999877929688,-69.28,35.094326,1.0
35.09432601928711,-69.20001220703125,-69.20001,35.094326,1.0
35.09432601928711,-69.1199951171875,-69.119995,35.094326,1.0
35.09432601928711,-69.04000854492188,-69.04001,35.094326,1.0
35.159759521484375,-76.95999145507812,-76.95999,35.15976,0.0
35.159759521484375,-76.8800048828125,-76.880005,35.15976,0.0
35.159759521484375,-76.79998779296875,-76.79999,35.15976,0.0
35.159759521484375,-76.72000122070312,-76.72,35.15976,0.0
35.159759521484375,-76.6400146484375,-76.640015,35.15976,0.0
35.159759521484375,-76.55999755859375,-76.56,35.15976,1.0
35.159759521484375,-76.48001098632812,-76.48001,35.15976,1.0
35.159759521484375,-76.39999389648438,-76.399994,35.15976,1.0
35.159759521484375,-76.32000732421875,-76.32001,35.15976,1.0
35.159759521484375,-76.239990234375,-76.23999,35.15976,1.0
35.159759521484375,-76.16000366210938,-76.16,35.15976,1.0
35.159759521484375,-76.07998657226562,-76.07999,35.15976,1.0
35.159759521484375,-76.0,-76.0,35.15976,1.0
35.159759521484375,-75.92001342773438,-75.92001,35.15976,1.0
35.159759521484375,-75.83999633789062,-75.84,35.15976,0.0
35.159759521484375,-75.760009765625,-75.76001,35.15976,1.0
35.159759521484375,-75.67999267578125,-75.67999,35.15976,1.0
35.159759521484375,-75.60000610351562,-75.600006,35.15976,1.0
35.159759521484375,-75.51998901367188,-75.51999,35.15976,1.0
35.159759521484375,-75.44000244140625,-75.44,35.15976,1.0
35.159759521484375,-75.3599853515625,-75.359985,35.15976,1.0
35.159759521484375,-75.27999877929688,-75.28,35.15976,1.0
35.159759521484375,-75.20001220703125,-75.20001,35.15976,1.0
35.159759521484375,-75.1199951171875,-75.119995,35.15976,1.0
35.159759521484375,-75.04000854492188,-75.04001,35.15976,1.0
35.159759521484375,-74.95999145507812,-74.95999,35.15976,1.0
35.159759521484375,-74.8800048828125,-74.880005,35.15976,1.0
35.159759521484375,-74.79998779296875,-74.79999,35.15976,1.0
35.159759521484375,-74.72000122070312,-74.72,35.15976,1.0
35.159759521484375,-74.6400146484375,-74.640015,35.15976,1.0
35.159759521484375,-74.55999755859375,-74.56,35.15976,1.0
35.159759521484375,-74.48001098632812,-74.48001,35.15976,1.0
35.159759521484375,-74.39999389648438,-74.399994,35.15976,1.0
35.159759521484375,-74.32000732421875,-74.32001,35.15976,1.0
35.159759521484375,-74.239990234375,-74.23999,35.15976,1.0
35.159759521484375,-74.16000366210938,-74.16,35.15976,1.0
35.159759521484375,-74.07998657226562,-74.07999,35.15976,1.0
35.159759521484375,-74.0,-74.0,35.15976,1.0
35.159759521484375,-73.92001342773438,-73.92001,35.15976,1.0
35.159759521484375,-73.83999633789062,-73.84,35.15976,1.0
35.159759521484375,-73.760009765625,-73.76001,35.15976,1.0
35.159759521484375,-73.67999267578125,-73.67999,35.15976,1.0
35.159759521484375,-73.60000610351562,-73.600006,35.15976,1.0
35.159759521484375,-73.51998901367188,-73.51999,35.15976,1.0
35.159759521484375,-73.44000244140625,-73.44,35.15976,1.0
35.159759521484375,-73.3599853515625,-73.359985,35.15976,1.0
35.159759521484375,-73.27999877929688,-73.28,35.15976,1.0
35.159759521484375,-73.20001220703125,-73.20001,35.15976,1.0
35.159759521484375,-73.1199951171875,-73.119995,35.15976,1.0
35.159759521484375,-73.04000854492188,-73.04001,35.15976,1.0
35.159759521484375,-72.95999145507812,-72.95999,35.15976,1.0
35.159759521484375,-72.8800048828125,-72.880005,35.15976,1.0
35.159759521484375,-72.79998779296875,-72.79999,35.15976,1.0
35.159759521484375,-72.72000122070312,-72.72,35.15976,1.0
35.159759521484375,-72.6400146484375,-72.640015,35.15976,1.0
35.159759521484375,-72.55999755859375,-72.56,35.15976,1.0
35.159759521484375,-72.48001098632812,-72.48001,35.15976,1.0
35.159759521484375,-72.39999389648438,-72.399994,35.15976,1.0
35.159759521484375,-72.32000732421875,-72.32001,35.15976,1.0
35.159759521484375,-72.239990234375,-72.23999,35.15976,1.0
35.159759521484375,-72.16000366210938,-72.16,35.15976,1.0
35.159759521484375,-72.07998657226562,-72.07999,35.15976,1.0
35.159759521484375,-72.0,-72.0,35.15976,1.0
35.159759521484375,-71.92001342773438,-71.92001,35.15976,1.0
35.159759521484375,-71.83999633789062,-71.84,35.15976,1.0
35.159759521484375,-71.760009765625,-71.76001,35.15976,1.0
35.159759521484375,-71.67999267578125,-71.67999,35.15976,1.0
35.159759521484375,-71.60000610351562,-71.600006,35.15976,1.0
35.159759521484375,-71.51998901367188,-71.51999,35.15976,1.0
35.159759521484375,-71.44000244140625,-71.44,35.15976,1.0
35.159759521484375,-71.3599853515625,-71.359985,35.15976,1.0
35.159759521484375,-71.27999877929688,-71.28,35.15976,1.0
35.159759521484375,-71.20001220703125,-71.20001,35.15976,1.0
35.159759521484375,-71.1199951171875,-71.119995,35.15976,1.0
35.159759521484375,-71.04000854492188,-71.04001,35.15976,1.0
35.159759521484375,-70.95999145507812,-70.95999,35.15976,1.0
35.159759521484375,-70.8800048828125,-70.880005,35.15976,1.0
35.159759521484375,-70.79998779296875,-70.79999,35.15976,1.0
35.159759521484375,-70.72000122070312,-70.72,35.15976,1.0
35.159759521484375,-70.6400146484375,-70.640015,35.15976,1.0
35.159759521484375,-70.55999755859375,-70.56,35.15976,1.0
35.159759521484375,-70.48001098632812,-70.48001,35.15976,1.0
35.159759521484375,-70.39999389648438,-70.399994,35.15976,1.0
35.159759521484375,-70.32000732421875,-70.32001,35.15976,1.0
35.159759521484375,-70.239990234375,-70.23999,35.15976,1.0
35.159759521484375,-70.16000366210938,-70.16,35.15976,1.0
35.159759521484375,-70.07998657226562,-70.07999,35.15976,1.0
35.159759521484375,-70.0,-70.0,35.15976,1.0
35.159759521484375,-69.92001342773438,-69.92001,35.15976,1.0
35.159759521484375,-69.83999633789062,-69.84,35.15976,1.0
35.159759521484375,-69.760009765625,-69.76001,35.15976,1.0
35.159759521484375,-69.67999267578125,-69.67999,35.15976,1.0
35.159759521484375,-69.60000610351562,-69.600006,35.15976,1.0
35.159759521484375,-69.51998901367188,-69.51999,35.15976,1.0
35.159759521484375,-69.44000244140625,-69.44,35.15976,1.0
35.159759521484375,-69.3599853515625,-69.359985,35.15976,1.0
35.159759521484375,-69.27999877929688,-69.28,35.15976,1.0
35.159759521484375,-69.20001220703125,-69.20001,35.15976,1.0
35.159759521484375,-69.1199951171875,-69.119995,35.15976,1.0
35.159759521484375,-69.04000854492188,-69.04001,35.15976,1.0
35.225135803222656,-76.95999145507812,-76.95999,35.225136,0.0
35.225135803222656,-76.8800048828125,-76.880005,35.225136,0.0
35.225135803222656,-76.79998779296875,-76.79999,35.225136,0.0
35.225135803222656,-76.72000122070312,-76.72,35.225136,0.0
35.225135803222656,-76.6400146484375,-76.640015,35.225136,0.0
35.225135803222656,-76.55999755859375,-76.56,35.225136,0.0
35.225135803222656,-76.48001098632812,-76.48001,35.225136,1.0
35.225135803222656,-76.39999389648438,-76.399994,35.225136,1.0
35.225135803222656,-76.32000732421875,-76.32001,35.225136,1.0
35.225135803222656,-76.239990234375,-76.23999,35.225136,1.0
35.225135803222656,-76.16000366210938,-76.16,35.225136,1.0
35.225135803222656,-76.07998657226562,-76.07999,35.225136,1.0
35.225135803222656,-76.0,-76.0,35.225136,1.0
35.225135803222656,-75.92001342773438,-75.92001,35.225136,1.0
35.225135803222656,-75.83999633789062,-75.84,35.225136,1.0
35.225135803222656,-75.760009765625,-75.76001,35.225136,1.0
35.225135803222656,-75.67999267578125,-75.67999,35.225136,1.0
35.225135803222656,-75.60000610351562,-75.600006,35.225136,1.0
35.225135803222656,-75.51998901367188,-75.51999,35.225136,1.0
35.225135803222656,-75.44000244140625,-75.44,35.225136,1.0
35.225135803222656,-75.3599853515625,-75.359985,35.225136,1.0
35.225135803222656,-75.27999877929688,-75.28,35.225136,1.0
35.225135803222656,-75.20001220703125,-75.20001,35.225136,1.0
35.225135803222656,-75.1199951171875,-75.119995,35.225136,1.0
35.225135803222656,-75.04000854492188,-75.04001,35.225136,1.0
35.225135803222656,-74.95999145507812,-74.95999,35.225136,1.0
35.225135803222656,-74.8800048828125,-74.880005,35.225136,1.0
35.225135803222656,-74.79998779296875,-74.79999,35.225136,1.0
35.225135803222656,-74.72000122070312,-74.72,35.225136,1.0
35.225135803222656,-74.6400146484375,-74.640015,35.225136,1.0
35.225135803222656,-74.55999755859375,-74.56,35.225136,1.0
35.225135803222656,-74.48001098632812,-74.48001,35.225136,1.0
35.225135803222656,-74.39999389648438,-74.399994,35.225136,1.0
35.225135803222656,-74.32000732421875,-74.32001,35.225136,1.0
35.225135803222656,-74.239990234375,-74.23999,35.225136,1.0
35.225135803222656,-74.16000366210938,-74.16,35.225136,1.0
35.225135803222656,-74.07998657226562,-74.07999,35.225136,1.0
35.225135803222656,-74.0,-74.0,35.225136,1.0
35.225135803222656,-73.92001342773438,-73.92001,35.225136,1.0
35.225135803222656,-73.83999633789062,-73.84,35.225136,1.0
35.225135803222656,-73.760009765625,-73.76001,35.225136,1.0
35.225135803222656,-73.67999267578125,-73.67999,35.225136,1.0
35.225135803222656,-73.60000610351562,-73.600006,35.225136,1.0
35.225135803222656,-73.51998901367188,-73.51999,35.225136,1.0
35.225135803222656,-73.44000244140625,-73.44,35.225136,1.0
35.225135803222656,-73.3599853515625,-73.359985,35.225136,1.0
35.225135803222656,-73.27999877929688,-73.28,35.225136,1.0
35.225135803222656,-73.20001220703125,-73.20001,35.225136,1.0
35.225135803222656,-73.1199951171875,-73.119995,35.225136,1.0
35.225135803222656,-73.04000854492188,-73.04001,35.225136,1.0
35.225135803222656,-72.95999145507812,-72.95999,35.225136,1.0
35.225135803222656,-72.8800048828125,-72.880005,35.225136,1.0
35.225135803222656,-72.79998779296875,-72.79999,35.225136,1.0
35.225135803222656,-72.72000122070312,-72.72,35.225136,1.0
35.225135803222656,-72.6400146484375,-72.640015,35.225136,1.0
35.225135803222656,-72.55999755859375,-72.56,35.225136,1.0
35.225135803222656,-72.48001098632812,-72.48001,35.225136,1.0
35.225135803222656,-72.39999389648438,-72.399994,35.225136,1.0
35.225135803222656,-72.32000732421875,-72.32001,35.225136,1.0
35.225135803222656,-72.239990234375,-72.23999,35.225136,1.0
35.225135803222656,-72.16000366210938,-72.16,35.225136,1.0
35.225135803222656,-72.07998657226562,-72.07999,35.225136,1.0
35.225135803222656,-72.0,-72.0,35.225136,1.0
35.225135803222656,-71.92001342773438,-71.92001,35.225136,1.0
35.225135803222656,-71.83999633789062,-71.84,35.225136,1.0
35.225135803222656,-71.760009765625,-71.76001,35.225136,1.0
35.225135803222656,-71.67999267578125,-71.67999,35.225136,1.0
35.225135803222656,-71.60000610351562,-71.600006,35.225136,1.0
35.225135803222656,-71.51998901367188,-71.51999,35.225136,1.0
35.225135803222656,-71.44000244140625,-71.44,35.225136,1.0
35.225135803222656,-71.3599853515625,-71.359985,35.225136,1.0
35.225135803222656,-71.27999877929688,-71.28,35.225136,1.0
35.225135803222656,-71.20001220703125,-71.20001,35.225136,1.0
35.225135803222656,-71.1199951171875,-71.119995,35.225136,1.0
35.225135803222656,-71.04000854492188,-71.04001,35.225136,1.0
35.225135803222656,-70.95999145507812,-70.95999,35.225136,1.0
35.225135803222656,-70.8800048828125,-70.880005,35.225136,1.0
35.225135803222656,-70.79998779296875,-70.79999,35.225136,1.0
35.225135803222656,-70.72000122070312,-70.72,35.225136,1.0
35.225135803222656,-70.6400146484375,-70.640015,35.225136,1.0
35.225135803222656,-70.55999755859375,-70.56,35.225136,1.0
35.225135803222656,-70.48001098632812,-70.48001,35.225136,1.0
35.225135803222656,-70.39999389648438,-70.399994,35.225136,1.0
35.225135803222656,-70.32000732421875,-70.32001,35.225136,1.0
35.225135803222656,-70.239990234375,-70.23999,35.225136,1.0
35.225135803222656,-70.16000366210938,-70.16,35.225136,1.0
35.225135803222656,-70.07998657226562,-70.07999,35.225136,1.0
35.225135803222656,-70.0,-70.0,35.225136,1.0
35.225135803222656,-69.92001342773438,-69.92001,35.225136,1.0
35.225135803222656,-69.83999633789062,-69.84,35.225136,1.0
35.225135803222656,-69.760009765625,-69.76001,35.225136,1.0
35.225135803222656,-69.67999267578125,-69.67999,35.225136,1.0
35.225135803222656,-69.60000610351562,-69.600006,35.225136,1.0
35.225135803222656,-69.51998901367188,-69.51999,35.225136,1.0
35.225135803222656,-69.44000244140625,-69.44,35.225136,1.0
35.225135803222656,-69.3599853515625,-69.359985,35.225136,1.0
35.225135803222656,-69.27999877929688,-69.28,35.225136,1.0
35.225135803222656,-69.20001220703125,-69.20001,35.225136,1.0
35.225135803222656,-69.1199951171875,-69.119995,35.225136,1.0
35.225135803222656,-69.04000854492188,-69.04001,35.225136,1.0
35.290462493896484,-76.95999145507812,-76.95999,35.290462,0.0
35.290462493896484,-76.8800048828125,-76.880005,35.290462,0.0
35.290462493896484,-76.79998779296875,-76.79999,35.290462,0.0
35.290462493896484,-76.72000122070312,-76.72,35.290462,0.0
35.290462493896484,-76.6400146484375,-76.640015,35.290462,0.0
35.290462493896484,-76.55999755859375,-76.56,35.290462,0.0
35.290462493896484,-76.48001098632812,-76.48001,35.290462,1.0
35.290462493896484,-76.39999389648438,-76.399994,35.290462,1.0
35.290462493896484,-76.32000732421875,-76.32001,35.290462,1.0
35.290462493896484,-76.239990234375,-76.23999,35.290462,1.0
35.290462493896484,-76.16000366210938,-76.16,35.290462,1.0
35.290462493896484,-76.07998657226562,-76.07999,35.290462,1.0
35.290462493896484,-76.0,-76.0,35.290462,1.0
35.290462493896484,-75.92001342773438,-75.92001,35.290462,1.0
35.290462493896484,-75.83999633789062,-75.84,35.290462,1.0
35.290462493896484,-75.760009765625,-75.76001,35.290462,1.0
35.290462493896484,-75.67999267578125,-75.67999,35.290462,1.0
35.290462493896484,-75.60000610351562,-75.600006,35.290462,1.0
35.290462493896484,-75.51998901367188,-75.51999,35.290462,1.0
35.290462493896484,-75.44000244140625,-75.44,35.290462,1.0
35.290462493896484,-75.3599853515625,-75.359985,35.290462,1.0
35.290462493896484,-75.27999877929688,-75.28,35.290462,1.0
35.290462493896484,-75.20001220703125,-75.20001,35.290462,1.0
35.290462493896484,-75.1199951171875,-75.119995,35.290462,1.0
35.290462493896484,-75.04000854492188,-75.04001,35.290462,1.0
35.290462493896484,-74.95999145507812,-74.95999,35.290462,1.0
35.290462493896484,-74.8800048828125,-74.880005,35.290462,1.0
35.290462493896484,-74.79998779296875,-74.79999,35.290462,1.0
35.290462493896484,-74.72000122070312,-74.72,35.290462,1.0
35.290462493896484,-74.6400146484375,-74.640015,35.290462,1.0
35.290462493896484,-74.55999755859375,-74.56,35.290462,1.0
35.290462493896484,-74.48001098632812,-74.48001,35.290462,1.0
35.290462493896484,-74.39999389648438,-74.399994,35.290462,1.0
35.290462493896484,-74.32000732421875,-74.32001,35.290462,1.0
35.290462493896484,-74.239990234375,-74.23999,35.290462,1.0
35.290462493896484,-74.16000366210938,-74.16,35.290462,1.0
35.290462493896484,-74.07998657226562,-74.07999,35.290462,1.0
35.290462493896484,-74.0,-74.0,35.290462,1.0
35.290462493896484,-73.92001342773438,-73.92001,35.290462,1.0
35.290462493896484,-73.83999633789062,-73.84,35.290462,1.0
35.290462493896484,-73.760009765625,-73.76001,35.290462,1.0
35.290462493896484,-73.67999267578125,-73.67999,35.290462,1.0
35.290462493896484,-73.60000610351562,-73.600006,35.290462,1.0
